(0.947912,0.603477)
(0.879367,0.632959)
(0.811432,0.668849)
(0.743314,0.694851)
(0.681605,0.745878)
(0.606957,0.749906)
(0.560263,0.860811)
(0.421464,0.692348)
(-0.0302135,0.0813019)
(0.0793487,-0.13532)
(-0.453203,0.5895)
(-1.05143,0.0256357)
(-0.973303,-1.16099)
(-1.0319,-0.884067)
(-1.01829,-0.998878)
(-1.03855,-0.924657)
(-1.04661,-0.943212)
(-0.989478,-0.92429)
(-0.865817,-0.928563)
(-0.740751,-0.930821)
(-0.608177,-0.937474)
(-0.485004,-0.94602)
(-0.363356,-0.957251)
(-0.248178,-0.970252)
(-0.139104,-0.985084)
(-0.0348524,-1.00156)
(0.0701321,-1.02067)
(0.167914,-1.04093)
(0.264292,-1.06321)
(0.354323,-1.08647)
(0.441362,-1.11125)
(0.528157,-1.13817)
(0.607689,-1.16521)
(0.684596,-1.19414)
(0.715298,-1.20872)
(0.700283,-1.20793)
(0.688442,-1.20836)
(0.674464,-1.20811)
(0.661585,-1.2083)
(0.647974,-1.20818)
(0.634668,-1.20824)
(0.621056,-1.20818)
(0.607506,-1.20824)
(0.593834,-1.20818)
(0.580039,-1.20824)
(0.566306,-1.20818)
(0.552389,-1.20824)
(0.538534,-1.20818)
(0.524495,-1.20824)
(0.510456,-1.20818)
(0.496357,-1.20824)
(0.482196,-1.20818)
(0.467913,-1.20824)
(0.453692,-1.20818)
(0.439348,-1.20824)
(0.425004,-1.20818)
(0.410538,-1.20824)
(0.396011,-1.20818)
(0.381545,-1.20824)
(0.367018,-1.20824)
(0.352308,-1.20818)
(0.337781,-1.20824)
(0.32301,-1.20818)
(0.3083,-1.20824)
(0.293529,-1.20818)
(0.278758,-1.20824)
(0.263926,-1.20818)
(0.249094,-1.20824)
(0.23414,-1.20818)
(0.219247,-1.20824)
(0.204353,-1.20818)
(0.189338,-1.20824)
(0.174445,-1.20818)
(0.159369,-1.20824)
(0.144354,-1.20818)
(0.129338,-1.20824)
(0.114201,-1.20818)
(0.0992469,-1.20824)
(0.0841096,-1.20818)
(0.0690334,-1.20824)
(0.0539571,-1.20818)
(0.0387588,-1.20824)
(0.0238046,-1.20824)
(0.00842317,-1.20818)
(-0.00610375,-1.20824)
(-0.0226449,-1.20818)
(-0.0247812,-1.2083)
(0.0139776,-1.20818)
(0.0673243,-1.20842)
(0.122991,-1.20506)
(0.177375,-1.16563)
(0.23359,-1.1074)
(0.289745,-1.05381)
(0.348097,-0.999672)
(0.408829,-0.946508)
(0.471026,-0.894321)
(0.534505,-0.843477)
(0.594993,-0.797271)
(0.66067,-0.749418)
(0.727261,-0.703213)
(0.792205,-0.660303)
(0.858187,-0.619042)
(0.929662,-0.576133)
(0.99723,-0.538106)
(1.06346,-0.502888)
(1.13066,-0.469561)
(1.19145,-0.438005)
(1.20946,-0.406143)
(1.20769,-0.382095)
(1.20848,-0.387344)
(1.20805,-0.402786)
(1.2083,-0.416642)
(1.20818,-0.431169)
(1.20818,-0.445268)
(1.20818,-0.459551)
(1.20824,-0.473651)
(1.20818,-0.48775)
(1.20818,-0.501789)
(1.20818,-0.515706)
(1.20818,-0.529622)
(1.20824,-0.543478)
(1.20818,-0.557272)
(1.20818,-0.570944)
(1.20818,-0.584617)
(1.20824,-0.598167)
(1.20818,-0.611718)
(1.20818,-0.625085)
(1.20818,-0.638513)
(1.20818,-0.651758)
(1.20824,-0.664942)
(1.20818,-0.678126)
(1.20811,-0.691188)
(1.20293,-0.704128)
(1.19499,-0.717007)
(1.18724,-0.729825)
(1.17924,-0.742582)
(1.17119,-0.755217)
(1.16289,-0.767729)
(1.15458,-0.780181)
(1.14604,-0.792572)
(1.13743,-0.80484)
(1.1287,-0.816987)
(1.11979,-0.829072)
(1.11076,-0.841096)
(1.1016,-0.852999)
(1.09233,-0.864718)
(1.08299,-0.876498)
(1.0734,-0.888034)
(1.06376,-0.899509)
(1.054,-0.910862)
(1.04405,-0.922154)
(1.0341,-0.933263)
(1.02396,-0.944311)
(1.01365,-0.955114)
(1.00333,-0.965979)
(0.992774,-0.9766)
(0.982215,-0.987159)
(0.971533,-0.997657)
(0.960669,-1.00791)
(0.949804,-1.01847)
(0.938878,-1.02268)
(0.93076,-0.969519)
(0.925328,-0.889804)
(0.921422,-0.815644)
(0.919285,-0.739286)
(0.919041,-0.661951)
(0.920506,-0.584983)
(0.923802,-0.507954)
(0.928929,-0.430314)
