(0.239267,0.390762)
(0.234445,0.39241)
(0.2306,0.395645)
(0.22474,0.394485)
(0.223275,0.402298)
(0.213021,0.392532)
(0.220956,0.418046)
(0.175971,0.342664)
(0.00268565,0.00573752)
(0.00140386,0.00268565)
(-0.000915562,-0.00170905)
(-0.000305187,0.00109867)
(-0.00122075,0.000427262)
(-0.000915562,0.000549337)
(-0.00103764,0.000610375)
(-0.00103764,0.000549337)
(-0.0009766,0.000610375)
(-0.000915562,0.00073245)
(-0.000915562,0.000671412)
(-0.0009766,0.00073245)
(-0.0009766,0.000793487)
(-0.0009766,0.00073245)
(-0.0009766,0.000793487)
(-0.0009766,0.00073245)
(-0.000915562,0.00073245)
(-0.0009766,0.000793487)
(-0.000854525,0.000793487)
(-0.0009766,0.000854525)
(-0.0009766,0.000793487)
(-0.000854525,0.000915562)
(-0.000915562,0.000793487)
(-0.000915562,0.00073245)
(-0.000915562,0.000915562)
(-0.000854525,0.000854525)
(-0.0009766,0.000915562)
(-0.000854525,0.000854525)
(-0.000854525,0.000854525)
(-0.000854525,0.0009766)
(-0.000793487,0.000854525)
(-0.000854525,0.000915562)
(-0.00073245,0.00103764)
(-0.000915562,0.0009766)
(-0.000915562,0.0009766)
(-0.000854525,0.000915562)
(-0.000671412,0.000793487)
(-0.000793487,0.000915562)
(-0.000793487,0.000915562)
(-0.00073245,0.000915562)
(-0.00073245,0.000915562)
(-0.00073245,0.00103764)
(-0.000793487,0.0009766)
(-0.000671412,0.0009766)
(-0.00073245,0.00109867)
(-0.00073245,0.00103764)
(-0.000671412,0.0009766)
(-0.00073245,0.00109867)
(-0.000671412,0.0009766)
(-0.00073245,0.00103764)
(-0.000793487,0.00103764)
(-0.00073245,0.00103764)
(-0.00073245,0.00103764)
(-0.000610375,0.00115971)
(-0.000671412,0.00115971)
(-0.00073245,0.00115971)
(-0.000610375,0.00115971)
(-0.000427262,0.00109867)
(-0.0004883,0.00115971)
(-0.000549337,0.00109867)
(-0.000427262,0.00115971)
(-0.0004883,0.00115971)
(-0.000427262,0.00115971)
(-0.000427262,0.00115971)
(-0.000610375,0.00109867)
(-0.000366225,0.00122075)
(-0.000427262,0.00109867)
(-0.000427262,0.00109867)
(-0.000366225,0.00115971)
(-0.000366225,0.00115971)
(-0.000305187,0.00122075)
(-0.000305187,0.00109867)
(-0.000305187,0.00109867)
(-0.000366225,0.00122075)
(-0.000366225,0.00115971)
(-0.000366225,0.00115971)
(-0.000366225,0.00122075)
(-0.000305187,0.00115971)
(-0.000305187,0.00122075)
(-0.00024415,0.00115971)
(-0.000183112,0.00103764)
(-0.000183112,0.00134282)
(-0.000183112,0.00122075)
(-0.000305187,0.00115971)
(-0.00024415,0.00122075)
(-0.000122075,0.00115971)
(-0.000122075,0.00115971)
(-0.000183112,0.00122075)
(-0.000122075,0.00128179)
(-0.000122075,0.00122075)
(-0.000183112,0.00122075)
(-0.000122075,0.00122075)
(-6.10375e-05,0.00122075)
(-6.10375e-05,0.00128179)
(-0.000122075,0.00115971)
(-6.10375e-05,0.00109867)
(-6.10375e-05,0.00128179)
(-6.10375e-05,0.00115971)
(0,0.00103764)
(0,0.00115971)
(0,0.00128179)
(-0.000122075,0.00122075)
(0,0.00115971)
(6.10375e-05,0.00122075)
(0.000122075,0.00109867)
(0.000183112,0.00122075)
(0.000122075,0.00115971)
(0.00024415,0.00109867)
(0.000122075,0.00109867)
(0.000122075,0.00115971)
(0.000183112,0.00115971)
(0.000122075,0.00115971)
(0.00024415,0.00109867)
(0.000183112,0.00109867)
(0.000183112,0.00115971)
(0.000305187,0.00109867)
(0.00024415,0.00115971)
(0.00024415,0.00103764)
(0.000122075,0.00122075)
(0.00024415,0.00115971)
(0.000305187,0.00109867)
(0.000305187,0.00115971)
(0.000305187,0.00128179)
(0.00024415,0.00109867)
(0.00024415,0.00103764)
(0.000366225,0.00115971)
(0.000366225,0.00115971)
(0.000427262,0.00115971)
(0.000366225,0.00109867)
(0.000427262,0.00122075)
(0.000427262,0.00109867)
