(0.0205696,0.0369277)
(0.0200203,0.0372329)
(0.0198372,0.037538)
(0.0186775,0.0370497)
(0.0209969,0.0401016)
(0.0125127,0.032594)
(0.0315564,0.050417)
(-0.0116582,0.0107426)
(0.052187,0.0433976)
(-0.111332,-0.0934484)
(0.533529,0.494037)
(0.52065,0.770964)
(-0.214669,0.360915)
(-0.06354,0.461077)
(-0.151556,0.406082)
(-0.119084,0.429826)
(-0.143804,0.415726)
(-0.142217,0.418229)
(-0.149664,0.414322)
(-0.154364,0.41243)
(-0.159491,0.41005)
(-0.164557,0.407425)
(-0.16944,0.404923)
(-0.174262,0.402298)
(-0.178535,0.399979)
(-0.182868,0.397354)
(-0.187019,0.395096)
(-0.190925,0.392654)
(-0.195442,0.389968)
(-0.199287,0.387405)
(-0.20356,0.384597)
(-0.20826,0.381484)
(-0.212227,0.37831)
(-0.216927,0.375625)
(-0.221566,0.372206)
(-0.2259,0.368788)
(-0.230416,0.365492)
(-0.234933,0.362013)
(-0.239206,0.358717)
(-0.243723,0.355299)
(-0.247873,0.351881)
(-0.252512,0.34828)
(-0.256296,0.344984)
(-0.260264,0.341627)
(-0.264231,0.337964)
(-0.268565,0.334363)
(-0.272715,0.330701)
(-0.276195,0.327344)
(-0.279918,0.323926)
(-0.283519,0.32063)
(-0.287059,0.317029)
(-0.290844,0.313244)
(-0.294933,0.309094)
(-0.298962,0.305493)
(-0.302807,0.301342)
(-0.306408,0.29713)
(-0.310315,0.293224)
(-0.313977,0.289379)
(-0.317029,0.285594)
(-0.320203,0.281932)
(-0.32356,0.278087)
(-0.3271,0.273875)
(-0.330518,0.27003)
(-0.333814,0.266001)
(-0.337171,0.26179)
(-0.340528,0.257883)
(-0.34358,0.253794)
(-0.346449,0.249643)
(-0.349745,0.245676)
(-0.352797,0.241403)
(-0.355726,0.237314)
(-0.358778,0.233041)
(-0.361342,0.229135)
(-0.364333,0.224862)
(-0.367018,0.220773)
(-0.370009,0.216378)
(-0.372329,0.212716)
(-0.375136,0.208443)
(-0.377883,0.204353)
(-0.380263,0.200264)
(-0.383376,0.195442)
(-0.385635,0.190986)
(-0.388259,0.186531)
(-0.39064,0.182319)
(-0.393325,0.177619)
(-0.395584,0.173163)
(-0.398086,0.168402)
(-0.400467,0.163886)
(-0.402298,0.159613)
(-0.404678,0.154913)
(-0.406815,0.150396)
(-0.408829,0.146002)
(-0.410843,0.141546)
(-0.412918,0.136968)
(-0.414872,0.132268)
(-0.416764,0.128057)
(-0.418778,0.123418)
(-0.420609,0.118352)
(-0.422379,0.113835)
(-0.424149,0.109318)
(-0.425736,0.104557)
(-0.427629,0.0996132)
(-0.429154,0.0947912)
(-0.43068,0.0900303)
(-0.432084,0.0856356)
(-0.433427,0.081485)
(-0.434953,0.0766631)
(-0.436357,0.0719632)
(-0.437944,0.0670191)
(-0.439165,0.0620141)
(-0.440141,0.0574973)
(-0.441545,0.0527364)
(-0.442583,0.0476703)
(-0.443498,0.0426042)
(-0.44478,0.037477)
(-0.445879,0.032533)
(-0.447038,0.0272227)
(-0.44771,0.0224618)
(-0.448564,0.0177009)
(-0.449602,0.0125737)
(-0.449968,0.00799591)
(-0.450823,0.00366225)
(-0.451555,-0.000610375)
(-0.452105,-0.00518818)
(-0.452593,-0.0100712)
(-0.45302,-0.0148931)
(-0.453753,-0.0198372)
(-0.453875,-0.0239877)
(-0.45418,-0.0286876)
(-0.454302,-0.0328382)
(-0.454729,-0.0373549)
(-0.455217,-0.0421159)
(-0.455095,-0.0469378)
(-0.454912,-0.052065)
(-0.455156,-0.0576194)
(-0.455462,-0.0626855)
(-0.455217,-0.0678126)
(-0.455034,-0.0727567)
(-0.454912,-0.0777617)
(-0.454668,-0.0827668)
(-0.454424,-0.0874057)
(-0.454058,-0.0923497)
(-0.453936,-0.0971106)
(-0.453569,-0.102299)
(-0.452898,-0.107548)
(-0.45241,-0.11237)
(-0.451738,-0.11707)
(-0.451067,-0.121892)
(-0.450579,-0.126592)
(-0.449907,-0.13117)
(-0.449236,-0.135686)
(-0.448686,-0.14002)
(-0.448137,-0.144293)
(-0.447222,-0.148565)
(-0.446489,-0.152594)
(-0.445635,-0.157171)
(-0.44478,-0.161444)
(-0.443742,-0.1659)
(-0.442644,-0.170966)
(-0.441545,-0.175483)
(-0.440202,-0.180061)
(-0.439165,-0.184577)
(-0.438188,-0.188667)
(-0.437089,-0.193062)
(-0.435685,-0.197334)
(-0.434587,-0.201546)
(-0.433366,-0.205818)
(-0.431901,-0.210091)
(-0.430558,-0.214364)
(-0.428849,-0.218819)
(-0.427751,-0.222665)
(-0.426408,-0.22651)
(-0.424516,-0.23121)
(-0.423234,-0.235299)
(-0.421159,-0.239633)
(-0.419388,-0.243662)
(-0.417557,-0.248056)
(-0.415848,-0.252024)
(-0.413956,-0.256418)
(-0.411637,-0.261057)
(-0.409806,-0.265452)
(-0.407669,-0.269908)
(-0.40535,-0.274547)
(-0.402847,-0.278758)
(-0.400772,-0.282848)
(-0.398514,-0.287242)
(-0.396011,-0.291454)
(-0.393753,-0.295421)
(-0.391433,-0.29945)
(-0.389175,-0.303295)
(-0.386672,-0.307202)
(-0.384109,-0.311352)
(-0.381545,-0.315259)
(-0.378799,-0.319165)
(-0.375686,-0.323926)
(-0.372817,-0.328015)
(-0.370009,-0.331861)
(-0.36714,-0.335767)
(-0.36415,-0.339551)
(-0.361586,-0.342786)
(-0.359144,-0.346021)
(-0.356703,-0.349256)
(-0.354078,-0.352491)
(-0.351271,-0.355726)
(-0.348829,-0.358778)
(-0.346021,-0.362074)
(-0.343153,-0.365065)
(-0.340528,-0.368117)
(-0.337537,-0.371169)
(-0.334974,-0.374099)
(-0.331983,-0.377151)
(-0.32948,-0.379958)
(-0.32655,-0.382766)
(-0.323621,-0.385391)
(-0.320447,-0.388626)
(-0.317334,-0.391494)
(-0.314282,-0.394058)
(-0.310925,-0.396988)
(-0.307995,-0.399307)
(-0.304943,-0.402054)
(-0.301281,-0.405167)
(-0.297985,-0.407974)
(-0.294689,-0.410172)
(-0.291332,-0.412674)
(-0.28828,-0.415238)
(-0.285167,-0.417557)
(-0.281993,-0.419755)
(-0.278392,-0.422196)
(-0.275035,-0.424455)
(-0.271495,-0.426774)
(-0.267649,-0.429215)
(-0.264231,-0.431352)
(-0.260142,-0.433793)
(-0.256479,-0.435869)
(-0.252756,-0.437944)
(-0.249277,-0.439897)
(-0.245493,-0.442033)
(-0.241769,-0.444109)
(-0.238107,-0.446062)
(-0.234079,-0.44771)
(-0.230477,-0.44948)
(-0.226205,-0.451433)
(-0.222543,-0.453203)
(-0.218819,-0.454546)
(-0.215218,-0.456072)
(-0.211739,-0.457476)
(-0.208138,-0.458941)
(-0.204476,-0.460406)
(-0.200752,-0.461565)
(-0.196663,-0.46303)
(-0.192695,-0.464312)
(-0.188545,-0.465533)
(-0.184699,-0.466631)
(-0.180793,-0.467974)
(-0.177009,-0.468768)
(-0.172797,-0.469927)
(-0.168463,-0.471148)
(-0.164374,-0.471942)
(-0.160101,-0.472918)
(-0.156317,-0.473773)
(-0.152044,-0.474444)
(-0.147467,-0.475299)
(-0.143194,-0.476153)
(-0.138738,-0.476825)
(-0.134527,-0.477313)
(-0.130132,-0.478229)
(-0.125737,-0.478656)
(-0.121465,-0.478839)
(-0.117314,-0.479388)
(-0.113163,-0.479755)
(-0.10883,-0.480182)
(-0.104923,-0.480487)
(-0.100407,-0.480731)
(-0.0956457,-0.480792)
(-0.09119,-0.480731)
(-0.0866122,-0.480914)
(-0.0819733,-0.480975)
(-0.0777617,-0.480975)
(-0.0731229,-0.480792)
(-0.0686672,-0.48067)
(-0.0641504,-0.480609)
(-0.0596946,-0.480182)
(-0.0551779,-0.479816)
(-0.0502338,-0.479755)
(-0.0454729,-0.479144)
(-0.0408341,-0.478534)
(-0.0362563,-0.47829)
(-0.0318616,-0.47774)
(-0.0272227,-0.477252)
(-0.0224618,-0.476581)
(-0.0183112,-0.475787)
(-0.0137945,-0.475238)
